,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_Baseline_splitold,0.6497,0.1026,0.64,0.0583,0.6393,0.0574,0.7548,0.083,0.7545,0.0617,0.752,0.0562,0.9643,0.0158,0.9911,0.0073,0.9774,0.0083,0.7023,0.0523,0.664,0.065,0.6824,0.0588,0.796,0.0852,0.64,0.0533,0.7065,0.0482,0.8728,0.0153
ConvNeXt_small_KD_splitold_teacher,0.5744,0.0503,0.66,0.097,0.6064,0.031,0.9639,0.051,0.8545,0.034,0.9041,0.0125,1.0,0.0,1.0,0.0,1.0,0.0,0.6837,0.0969,0.704,0.0824,0.6842,0.0488,0.745,0.0966,0.5867,0.136,0.6364,0.056,0.8912,0.0111
ConvNeXt_small_KD_splitold_student,0.6386,0.0519,0.58,0.051,0.6038,0.0149,0.7969,0.0477,0.7909,0.106,0.7879,0.0537,0.9712,0.0117,0.9941,0.003,0.9825,0.0062,0.6927,0.0718,0.672,0.0466,0.6786,0.0364,0.7726,0.1242,0.6933,0.0904,0.7221,0.0616,0.8774,0.0085
