epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6497109826589595,0.6485549132947978,0.639306358381503,0.6601156069364162,0.6416184971098267,0.9094328924056587,0.9564438916127617,0.9421620325210991,0.931216423664618,0.9107709587167162,0.7096774193548387,0.7096774193548387,0.728110599078341,0.7096774193548387,0.7373271889400922,0.6764288695726527,0.6975827546712989,0.658011722125216,0.721406013734879,0.638027841594362
1,0.7456647398843931,0.7213872832369943,0.7410404624277457,0.738728323699422,0.7526011560693642,0.5791184377232823,0.5980248538725966,0.5739817597450466,0.5977298579084764,0.5553574496452961,0.7419354838709677,0.7327188940092166,0.8341013824884793,0.7603686635944701,0.7880184331797235,0.5820307226224979,0.5949096328102499,0.5487071446010044,0.5725058278729839,0.5511090326968426
2,0.7687861271676301,0.738728323699422,0.8046242774566474,0.7826589595375723,0.7988439306358383,0.5279568565001181,0.544483469166887,0.49271062098511864,0.5265144011296263,0.5044218225216647,0.7880184331797235,0.7327188940092166,0.8341013824884793,0.7695852534562212,0.7926267281105991,0.5143631614298315,0.5745709678544427,0.4788053661996868,0.5309078198973485,0.4972750052878384
3,0.8057803468208093,0.7537572254335261,0.8369942196531792,0.7942196531791909,0.8208092485549133,0.45955370380244126,0.5364289557168244,0.4227626137777206,0.4757411370583631,0.4213378429412842,0.8248847926267281,0.7235023041474654,0.8341013824884793,0.8018433179723502,0.7788018433179723,0.4383381610641831,0.5753222346855199,0.44180051742061494,0.45133865813505814,0.4785283611666772
4,0.8173410404624278,0.769942196531792,0.8242774566473989,0.8242774566473989,0.8485549132947977,0.40886197122958823,0.517579589415034,0.3983193548447495,0.38694242490540953,0.38055321929651664,0.8294930875576036,0.8202764976958525,0.8202764976958525,0.7788018433179723,0.8110599078341014,0.43376182520993845,0.5020682690879716,0.4168780278500324,0.45082069432131155,0.46861840173396097
5,0.8404624277456648,0.8069364161849711,0.8647398843930636,0.8508670520231214,0.8508670520231214,0.3539054076605981,0.4339778888116189,0.3349689370995268,0.3552948684867369,0.3499092202667796,0.8018433179723502,0.7926267281105991,0.8064516129032258,0.815668202764977,0.8110599078341014,0.4806249767953899,0.48123368030319563,0.45159128953784294,0.4059109665831113,0.42150634554674
6,0.8300578034682081,0.8277456647398844,0.8797687861271677,0.8601156069364162,0.8959537572254336,0.379071220892285,0.37925886014185917,0.31343928444276165,0.3154433208321213,0.26520709597736325,0.783410138248848,0.815668202764977,0.8341013824884793,0.8387096774193549,0.8110599078341014,0.48266588378062447,0.4000334322177869,0.3838971660983178,0.41404646772393433,0.46641141038885864
7,0.8624277456647399,0.8508670520231214,0.8809248554913295,0.8578034682080925,0.8982658959537573,0.33102043287469707,0.33879118775009015,0.30856088651429625,0.31161788570771526,0.244282639081325,0.8248847926267281,0.8341013824884793,0.8341013824884793,0.8433179723502304,0.8064516129032258,0.4240581582768172,0.44634619066792147,0.4160711446665399,0.4224210466657366,0.4583465558592625
8,0.8924855491329481,0.8485549132947977,0.9121387283236995,0.8982658959537573,0.9260115606936417,0.28028602611034287,0.3352548966714002,0.2344150586959419,0.26093097974401,0.1945974982659751,0.7972350230414746,0.8525345622119815,0.8248847926267281,0.8387096774193549,0.8617511520737328,0.45081668625229515,0.37642743510584675,0.42758614676339285,0.4162922608687581,0.40106766344764816
9,0.9132947976878614,0.8716763005780347,0.9144508670520232,0.9190751445086706,0.931791907514451,0.23700039430495795,0.3014411393108718,0.2181783427885913,0.24191345807609207,0.19456811809758529,0.8433179723502304,0.847926267281106,0.8248847926267281,0.8202764976958525,0.8294930875576036,0.4325652583952873,0.37548372382941886,0.43743252644341113,0.4924017075569399,0.43866750831428214
10,0.9341040462427747,0.8763005780346821,0.9468208092485549,0.9329479768786128,0.9375722543352601,0.2064218641421117,0.2935210061729501,0.1568902052870584,0.1835604881474731,0.16064192505057798,0.815668202764977,0.8248847926267281,0.8202764976958525,0.8064516129032258,0.8064516129032258,0.46491257715884443,0.37555226532544955,0.4771921579738916,0.42204705251526725,0.5123152117575368
11,0.9479768786127168,0.9202312138728325,0.9398843930635838,0.9144508670520232,0.9687861271676301,0.16389136959653383,0.19858830387986035,0.1608616173814196,0.2017844945465753,0.09772824653244894,0.7880184331797235,0.8248847926267281,0.8248847926267281,0.8110599078341014,0.8248847926267281,0.5884052795199205,0.4332256251216484,0.5264847751037316,0.4864655068393127,0.5199293958426621
12,0.9329479768786128,0.9190751445086706,0.9630057803468208,0.9468208092485549,0.9595375722543353,0.18391087295812206,0.20162114555682611,0.11314974670563269,0.14050458549359524,0.11719106233448064,0.7926267281105991,0.7741935483870968,0.7972350230414746,0.8248847926267281,0.8387096774193549,0.5654784039967621,0.5482321532640589,0.5448879997851113,0.5437859038603471,0.5164033652450631
13,0.9526011560693642,0.9271676300578036,0.9583815028901734,0.9514450867052023,0.9722543352601156,0.13311981143207724,0.18058826685498613,0.10555948385404884,0.14312730866287826,0.0825126577134526,0.815668202764977,0.8294930875576036,0.815668202764977,0.8110599078341014,0.8064516129032258,0.47143220022526755,0.45816657729961907,0.508995719769034,0.4855632276578982,0.6473612279935916
