epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_train_cons_loss,fold1_train_cons_loss,fold2_train_cons_loss,fold3_train_cons_loss,fold4_train_cons_loss,fold0_train_cls_loss,fold1_train_cls_loss,fold2_train_cls_loss,fold3_train_cls_loss,fold4_train_cls_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6601156069364162,0.6716763005780347,0.6578034682080925,0.6786127167630058,0.6520231213872832,1.2751031939042818,1.2654477997657356,1.2917345363065738,1.23464645759775,1.1804038455726904,1.5405387397206158,1.4726265122037414,1.5640660819657353,1.4371162975600007,1.3195542381444108,1.0096676502752742,1.0582690807657504,1.019402993928402,1.0321766214633206,1.041253448626317,0.7419354838709677,0.6912442396313364,0.7465437788018433,0.6682027649769585,0.6774193548387096,0.9865672028009793,0.7987111175115207,0.8543834071005544,0.8543483189174107,0.8206742106494815
1,0.7317919075144509,0.7271676300578035,0.7341040462427746,0.7248554913294798,0.7167630057803469,0.9716131315318817,0.9570575996276436,0.964073626273269,0.9351322940730173,0.8851431455087224,1.2054364035982605,1.1592647941834335,1.2154109521743355,1.1236608454940515,1.0281578220358683,0.7491958753778301,0.7647141666587339,0.7249966444225486,0.7558002417240668,0.7491047874503179,0.7557603686635944,0.7142857142857143,0.7511520737327189,0.7603686635944701,0.728110599078341,0.8184652724024337,0.7886109945411506,0.8072808612876224,0.7371506932693692,0.860236101985527
2,0.7329479768786128,0.7445086705202313,0.7549132947976879,0.7514450867052024,0.7421965317919076,0.8862794150999926,0.8660165815178408,0.8978624781337353,0.8522518353724698,0.785827218939405,1.1026475670140818,1.0442969908408068,1.11391864566628,0.9988380916621706,0.9059454913533062,0.690517806678737,0.7047153066057678,0.702383136530535,0.7196262178071048,0.6771488195165581,0.7235023041474654,0.7603686635944701,0.7649769585253456,0.7695852534562212,0.7511520737327189,0.7921142753917501,0.7829880956131192,0.6543967800755655,0.6899161624468966,0.7154655632335469
3,0.7514450867052024,0.7710982658959538,0.7572254335260116,0.7537572254335261,0.7676300578034683,0.814865260496052,0.8119642734527588,0.8378065594839393,0.7788879051121003,0.757556195652813,1.0277806504057088,0.9605392540266754,1.0577518672024437,0.9426332586402193,0.8640967208311099,0.6316589576388718,0.6841206452168456,0.6485512540974748,0.6379906978082219,0.6658817444919446,0.7327188940092166,0.7465437788018433,0.7603686635944701,0.7926267281105991,0.7004608294930875,0.8696006739743843,0.6399187887868574,0.7333752592587801,0.7240063891432802,0.7313230488157492
4,0.7630057803468209,0.7722543352601157,0.7630057803468209,0.7676300578034683,0.7583815028901735,0.7804466425825697,0.7622503517964564,0.7905528545379639,0.7708160740519883,0.741551845992377,1.0033309716697132,0.9352565303854986,1.001696569657107,0.9052829682280165,0.8492888589517786,0.5980867390785742,0.6206998546189124,0.6177989173372951,0.6607977091719252,0.6534033795015528,0.7050691244239631,0.7235023041474654,0.7511520737327189,0.7972350230414746,0.7373271889400922,0.869344966202837,0.691618769948933,0.6272051433264385,0.5975933953913676,0.6388022613964872
5,0.7976878612716763,0.7942196531791909,0.7838150289017342,0.7815028901734105,0.7953757225433526,0.7427319960856656,0.7526537666627027,0.746959385521915,0.7177739170713162,0.6733145251733448,0.967853143674518,0.9288514606449583,0.9788272331614013,0.8907147290509775,0.8146391007878365,0.5676377672667897,0.6156111184610139,0.5666177242720892,0.5832644058476895,0.5633954170647018,0.7788018433179723,0.7327188940092166,0.663594470046083,0.7972350230414746,0.7327188940092166,0.5968406617916124,0.669692861319687,0.8402602024342057,0.5653846000196747,0.5970384030847505
6,0.7884393063583816,0.8023121387283237,0.7942196531791909,0.7976878612716763,0.7630057803468209,0.7105930638969491,0.7020266452513704,0.718327669922365,0.6934459515667837,0.6870062228189696,0.963752177330332,0.8940760044876589,0.9610163454615742,0.8676249209893953,0.8206746550874973,0.5234754531208529,0.5600771132959138,0.5389490718141609,0.5647049737632821,0.5882078094766774,0.728110599078341,0.783410138248848,0.7419354838709677,0.7649769585253456,0.7142857142857143,0.656859562693653,0.5830924884514874,0.6380872682492305,0.6791902797013384,0.6639056886945452
7,0.8277456647398844,0.8184971098265896,0.8184971098265896,0.8034682080924856,0.8196531791907515,0.6943337025992368,0.6446325371571637,0.6989394377130981,0.6803049819731931,0.6072079271351526,0.9356383703170567,0.8701099354192752,0.9563652692584816,0.8740444385677303,0.7866900885870697,0.5249070508764424,0.4863186522361335,0.5181936703690695,0.5442751851103721,0.4811885649457984,0.7511520737327189,0.7880184331797235,0.7327188940092166,0.7465437788018433,0.7327188940092166,0.6391739438755721,0.6026076743130311,0.6201333510710897,0.6736059166868711,0.6768911203481085
8,0.8346820809248555,0.8335260115606937,0.8196531791907515,0.846242774566474,0.8323699421965318,0.6691600776046788,0.6409247520319913,0.6857841930804996,0.6244925539427941,0.5899726825022916,0.9349025597266101,0.872518415297937,0.9381534654066104,0.8572751004761512,0.7948229154315564,0.49199839032024417,0.4865289501367359,0.5175379796312489,0.46930416379499873,0.4534058297446015,0.7557603686635944,0.728110599078341,0.7373271889400922,0.7695852534562212,0.7096774193548387,0.6309123478726857,0.6926632537270472,0.651018174562586,0.5475414601339174,0.6627560930867349
9,0.8450867052023122,0.8520231213872833,0.8393063583815029,0.8208092485549133,0.846242774566474,0.6249384565637746,0.59729048582392,0.6407279746794919,0.610348811390203,0.6126823846353303,0.9284210319912761,0.864198490020332,0.9373064905131628,0.8421718549290929,0.7873751794526337,0.43293928607888177,0.42843032730828734,0.45309668013808924,0.4636852544382078,0.5021624522745063,0.7557603686635944,0.7419354838709677,0.7511520737327189,0.7327188940092166,0.7373271889400922,0.6365386742051296,0.6719159689916444,0.6239800519108223,0.613859760047104,0.5834447150955552
