epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_train_cons_loss,fold1_train_cons_loss,fold2_train_cons_loss,fold3_train_cons_loss,fold4_train_cons_loss,fold0_train_cls_loss,fold1_train_cls_loss,fold2_train_cls_loss,fold3_train_cls_loss,fold4_train_cls_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6000000000000001,0.6069364161849712,0.6046242774566475,0.6034682080924856,0.5919075144508671,2.8809703369753077,2.8521974567973287,2.564774991722282,3.4046286760120217,3.1541357729413093,4.596502080969854,4.543449839320751,3.949095204335834,5.678709787513138,5.132984598842236,1.1654385907934346,1.1609450873978642,1.1804547791087299,1.130547549746452,1.1752869492277094,0.5990783410138248,0.5990783410138248,0.5990783410138248,0.5990783410138248,0.6221198156682027,0.936048094578053,1.1064385620679724,1.0327215941820276,0.9264824511268721,0.9643160912298387
1,0.6716763005780347,0.6763005780346821,0.6913294797687862,0.7086705202312139,0.6936416184971099,2.1950691008786545,2.2206376129334124,1.9162087877956004,2.646203742661607,2.2584540335410233,3.6838014333619986,3.6879042113592866,3.082625274264484,4.650854582086615,3.7437487239137703,0.7789577869100308,0.8249449248707622,0.8066906185325132,0.7393406159287199,0.8456126571795263,0.7050691244239631,0.6866359447004609,0.7649769585253456,0.7419354838709677,0.7050691244239631,0.8697118803103399,0.7438784832229263,0.7773054975518433,0.828683598250288,0.8179971018145161
2,0.7098265895953758,0.715606936416185,0.7190751445086706,0.7260115606936417,0.7213872832369943,1.8906548433347579,1.8453678505136333,1.6544111310888867,2.3467042293023628,1.7779111818436089,3.217076830907699,3.08033733247617,2.7117566581166117,4.158271305604813,2.9452932548085484,0.6905588272514693,0.7280145697637436,0.697765245350129,0.7076674295127938,0.7217084202197713,0.695852534562212,0.7235023041474654,0.728110599078341,0.7649769585253456,0.7511520737327189,0.8930565618699596,0.7004305931829637,0.7224437520251296,0.7044026598952333,0.7035516835577477
3,0.7248554913294798,0.7294797687861272,0.746820809248555,0.7433526011560694,0.7410404624277457,1.6580840349197388,1.542306301517224,1.5100924506646778,1.9352395382769612,1.5588485357958242,2.81394398267116,2.5885791034873473,2.5169751089100445,3.459856432375558,2.6021681898230806,0.6635068228485388,0.6420249938964844,0.6437049830725433,0.6233598201646717,0.6611083144441657,0.783410138248848,0.7557603686635944,0.7741935483870968,0.8018433179723502,0.7327188940092166,0.6539559781826036,0.7073356522942469,0.6624587098574308,0.6328354233420939,0.6709099694880473
4,0.7410404624277457,0.7410404624277457,0.7595375722543353,0.7479768786127168,0.7583815028901735,1.5646952114520816,1.447476156260989,1.3834096409312082,1.8666365544456955,1.382715545936462,2.644985290842319,2.426413682622647,2.30211998563294,3.386948698157564,2.3370390621893997,0.6808215675004031,0.6465272990935439,0.6317375515579083,0.6227448577180915,0.6019054290351518,0.7926267281105991,0.7880184331797235,0.7695852534562212,0.7788018433179723,0.7788018433179723,0.6726093907510081,0.645787603844146,0.6001242360761089,0.5853585801366288,0.6307692286056308
5,0.7572254335260116,0.7572254335260116,0.7838150289017342,0.7676300578034683,0.7687861271676301,1.440888318446798,1.2794147303345007,1.2856297788270024,1.6857213449724224,1.324601350027487,2.469264947493142,2.1848214826452623,2.1927687317953195,3.094303181412023,2.2725491212048663,0.6410398308290254,0.5752094732512028,0.5800772588187402,0.590157701334822,0.5873086386864338,0.8018433179723502,0.8018433179723502,0.7557603686635944,0.783410138248848,0.7926267281105991,0.6132458805488551,0.6125965030511953,0.6023087743240567,0.592391616188436,0.5902584796676987
6,0.7780346820809249,0.7653179190751446,0.8104046242774567,0.7630057803468209,0.8023121387283237,1.2898540669078127,1.275899551877188,1.191833780172768,1.6955350094705546,1.2328649398383744,2.266227589561305,2.1944837110851885,2.121156682388498,3.192551058366758,2.157596064816921,0.5681866462077569,0.5969460076148357,0.5049429071058921,0.5890448137160835,0.5493679834068368,0.7926267281105991,0.7741935483870968,0.783410138248848,0.8018433179723502,0.7926267281105991,0.6386313020908339,0.5843017859393002,0.5307864703341014,0.5586963776619204,0.5560782999486967
7,0.7907514450867053,0.7687861271676301,0.8184971098265896,0.793063583815029,0.8057803468208093,1.215934586224206,1.2265064017761738,1.108143796204427,1.511993442653516,1.1533997218816652,2.181700985912883,2.1365782383385055,1.9957016959376292,2.891626668085746,2.096119104722224,0.5378433280034897,0.5875198338009896,0.48496489131122555,0.5433148594077574,0.4914904078212353,0.7926267281105991,0.7880184331797235,0.7880184331797235,0.7880184331797235,0.8018433179723502,0.6040645898212486,0.5571744716661866,0.5754951441892281,0.5515012960829493,0.5383804250972062
8,0.7965317919075146,0.7942196531791909,0.8335260115606937,0.7815028901734105,0.8265895953757226,1.1532179288087634,1.1327930917160227,1.0479314057925426,1.4234047582663527,1.1279619586303693,2.1037727873259726,2.035969244230778,1.9298693827532847,2.785125101378205,2.1143297859288137,0.5195146569418251,0.5306756124583953,0.45997271187808536,0.5155911401871147,0.47038336412622295,0.7603686635944701,0.7603686635944701,0.7695852534562212,0.815668202764977,0.7926267281105991,0.5429030036047306,0.5692528579641597,0.5804231705204133,0.5263113206432711,0.5457997124315956
9,0.8265895953757226,0.7919075144508672,0.8497109826589596,0.8138728323699422,0.8150289017341041,1.085592218768706,1.0785192029738644,1.0246922647187469,1.3872142054072214,1.0312236212535735,2.0477432422681687,1.9807517088334494,1.925428355505707,2.8246138311854194,1.952186106268419,0.4768844525748437,0.5077190749142149,0.4548388577382499,0.4778389799485513,0.4485739130492604,0.7327188940092166,0.7972350230414746,0.728110599078341,0.7972350230414746,0.783410138248848,0.6151542839366719,0.522963387625558,0.5506456436649445,0.5440660467894946,0.5512597923454601
