epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6231213872832371,0.6184971098265897,0.6369942196531793,0.616184971098266,0.6404624277456648,1.0990630902281595,1.1375986501711224,1.0856624480781205,1.1450000377970004,1.071706491872805,0.6912442396313364,0.6359447004608295,0.7096774193548387,0.7096774193548387,0.7050691244239631,1.1289355018721199,1.1249628726238479,1.0352757889004895,1.0737043108258928,1.1626961000504032
1,0.7341040462427746,0.7075144508670521,0.7352601156069365,0.7225433526011561,0.738728323699422,0.732667062260689,0.7521477817395411,0.690453557246322,0.7293452636911235,0.6988263414540422,0.695852534562212,0.7327188940092166,0.7004608294930875,0.728110599078341,0.7096774193548387,1.114479451684908,0.9732549289404522,1.0619873187509001,0.9428827663720478,1.0539709697670652
2,0.7491329479768787,0.7757225433526012,0.7560693641618498,0.7433526011560694,0.7271676300578035,0.6183826988990154,0.5934791018109803,0.6234358647547731,0.6725685295708682,0.6739884937575104,0.7188940092165899,0.6728110599078341,0.7741935483870968,0.7465437788018433,0.7419354838709677,0.9871442241053427,1.1514486145863336,0.7697464551793815,0.7707507489463701,0.8469780557166596
3,0.7606936416184972,0.7768786127167631,0.7710982658959538,0.7780346820809249,0.7653179190751446,0.5825356296989896,0.5755978445394323,0.5905512327994775,0.6072327746163815,0.6051577821784063,0.7788018433179723,0.7880184331797235,0.8064516129032258,0.7926267281105991,0.7649769585253456,0.9173882128456221,0.8203191801150274,0.790983740635182,0.8153081445650021,0.8559788998370895
4,0.769942196531792,0.793063583815029,0.7826589595375723,0.7826589595375723,0.7861271676300579,0.5872961974472081,0.5673804928403382,0.5344525704143244,0.5300178637198352,0.5406181377555253,0.7972350230414746,0.7788018433179723,0.7649769585253456,0.7972350230414746,0.7695852534562212,0.6876032253564228,0.5944062158259379,0.6799140547827092,0.715589228862991,0.7984273005191083
5,0.7942196531791909,0.8046242774566474,0.8046242774566474,0.808092485549133,0.7976878612716763,0.5451552774928031,0.5180737321529914,0.5226517881548732,0.5024821296197559,0.5007201438650078,0.7926267281105991,0.8018433179723502,0.7880184331797235,0.7788018433179723,0.8248847926267281,0.6296006655363443,0.6274637846353417,0.558232909523397,0.662072493733349,0.6338939666748047
6,0.8254335260115607,0.8196531791907515,0.8265895953757226,0.8416184971098266,0.8127167630057804,0.48109747783853374,0.4525627549908577,0.4725137789041624,0.4614775128867648,0.47345995738965657,0.7880184331797235,0.815668202764977,0.8294930875576036,0.8064516129032258,0.8110599078341014,0.6450645341301844,0.527461179390481,0.49754923170063353,0.5333098239063667,0.6424192437378492
7,0.8289017341040463,0.8254335260115607,0.8369942196531792,0.8427745664739885,0.8242774566473989,0.4357963998656754,0.4199154124074026,0.44791286869333424,0.4595724601264394,0.4247422565560822,0.8064516129032258,0.7972350230414746,0.7972350230414746,0.7741935483870968,0.815668202764977,0.5009731081773608,0.5209454457331363,0.49020304712831697,0.5473809692716818,0.5594158172607422
8,0.8531791907514451,0.8566473988439307,0.8566473988439307,0.8601156069364162,0.8358381502890174,0.39339902655247155,0.3675012529716579,0.3748970298318688,0.3739076534269053,0.4090070281553706,0.7649769585253456,0.7741935483870968,0.7972350230414746,0.7972350230414746,0.8202764976958525,0.5435877813172231,0.5802704595750378,0.44238379858605875,0.5342736771579162,0.5942164038732853
9,0.8705202312138729,0.8728323699421966,0.8589595375722544,0.8751445086705203,0.8658959537572255,0.3923255412950428,0.33829872050416576,0.3695548044158778,0.3247925196218928,0.3555670241150287,0.7926267281105991,0.7695852534562212,0.7880184331797235,0.7557603686635944,0.8341013824884793,0.4466157508885256,0.5737275286204254,0.4416265130592381,0.5368103036133375,0.4555296579264276
