epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6439306358381504,0.6578034682080925,0.646242774566474,0.639306358381503,0.6497109826589595,0.9369344798796767,0.8758968388268707,0.9126442025560851,0.8944444218906787,0.8891410827636719,0.7050691244239631,0.695852534562212,0.7142857142857143,0.7235023041474654,0.7004608294930875,0.8000706263950893,0.7815051100770449,0.7951031522267425,0.8222678751440092,0.8771348944457446
1,0.7514450867052024,0.7352601156069365,0.7329479768786128,0.7167630057803469,0.7098265895953758,0.6778950822462729,0.6758403428103945,0.6425757801860844,0.7235815415688611,0.7352181180901484,0.7880184331797235,0.7603686635944701,0.7327188940092166,0.728110599078341,0.7188940092165899,0.6384614865351382,0.69115233531196,0.7139548024823589,0.9014946019045219,0.6845061833957373
2,0.769942196531792,0.7491329479768787,0.7526011560693642,0.7329479768786128,0.7225433526011561,0.5925489478155014,0.6202965220180127,0.6057926842925745,0.6477450799504552,0.6757160939207865,0.8064516129032258,0.7649769585253456,0.7511520737327189,0.7373271889400922,0.7235023041474654,0.6268210696734591,0.6197454566779774,0.6659193610266056,0.6365327966927383,0.6921326246129752
3,0.7826589595375723,0.7641618497109827,0.7826589595375723,0.7745664739884394,0.761849710982659,0.5568248591291796,0.5742158846023979,0.5447336249395248,0.5605848207386261,0.613224554499355,0.8110599078341014,0.7741935483870968,0.7695852534562212,0.783410138248848,0.7741935483870968,0.5817998367520522,0.5823941208799863,0.5668005174206149,0.6335388746129752,0.6371590398973034
4,0.8184971098265896,0.8,0.8104046242774567,0.7861271676300579,0.7595375722543353,0.4835723452611801,0.5183555620525955,0.48413552275491417,0.5408803388613079,0.5498748875539238,0.815668202764977,0.815668202764977,0.7880184331797235,0.8018433179723502,0.7603686635944701,0.4977775608888969,0.5508302257907006,0.5582202260944701,0.5751687678323912,0.6277724235288559
5,0.8369942196531792,0.8057803468208093,0.8300578034682081,0.8138728323699422,0.7583815028901735,0.46675212230157415,0.4933987232523227,0.4504068532121291,0.4908926290109617,0.5770823364957757,0.783410138248848,0.7465437788018433,0.783410138248848,0.7649769585253456,0.7695852534562212,0.5559178013955394,0.595072012343165,0.527548091202837,0.5587785958145072,0.6158226470244096
6,0.8624277456647399,0.8358381502890174,0.8624277456647399,0.8416184971098266,0.7942196531791909,0.40026367038761806,0.4411494710029812,0.39853174970784316,0.43394724382173033,0.5000363293044064,0.7741935483870968,0.7603686635944701,0.7926267281105991,0.7511520737327189,0.7511520737327189,0.51605957664103,0.6325959412183629,0.5138649479035409,0.6589607906781034,0.6377458088958319
7,0.8820809248554914,0.8682080924855492,0.8751445086705203,0.8485549132947977,0.8381502890173411,0.33211128646080645,0.39176097266170956,0.3488127419707972,0.41978626951165154,0.469884896497114,0.7741935483870968,0.7695852534562212,0.7649769585253456,0.7788018433179723,0.7465437788018433,0.5420650359122984,0.6118477324736283,0.5638404090283653,0.5086789460775489,0.6200152102703324
8,0.8936416184971099,0.8682080924855492,0.8901734104046244,0.8947976878612718,0.8265895953757226,0.3239576094741121,0.3416465684908246,0.3122134646144482,0.35229211334788474,0.4226350696808701,0.7511520737327189,0.7649769585253456,0.7649769585253456,0.7557603686635944,0.783410138248848,0.5901573462420345,0.5699715504448535,0.5496293169012817,0.5715243256037137,0.5623225902082734
9,0.9040462427745666,0.9121387283236995,0.9098265895953758,0.8832369942196532,0.8751445086705203,0.2853719695992426,0.29567471994172545,0.28526456640401016,0.3254320096532139,0.35536847420788686,0.783410138248848,0.7649769585253456,0.783410138248848,0.7741935483870968,0.7972350230414746,0.5609429267144972,0.5789874643774077,0.5510982302476733,0.6156405523625387,0.5840765781666276
