epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_train_cons_loss,fold1_train_cons_loss,fold2_train_cons_loss,fold3_train_cons_loss,fold4_train_cons_loss,fold0_train_cls_loss,fold1_train_cls_loss,fold2_train_cls_loss,fold3_train_cls_loss,fold4_train_cls_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.639306358381503,0.6254335260115608,0.6150289017341041,0.6184971098265897,0.6173410404624278,1.330777288030047,1.3451161548632,1.3448188097105114,1.3873429068731606,1.2979237738005611,1.5824001283820617,1.5741390635114196,1.5423310672471282,1.6657736640457714,1.4784395547088134,1.0791544608019907,1.1160932593389388,1.1473065647510214,1.108912161730845,1.1174079825025085,0.663594470046083,0.6820276497695853,0.6451612903225806,0.6497695852534562,0.6866359447004609,0.7934061920587918,0.8606480892902145,0.8989322504140265,0.8274236582391273,0.8685591034076181
1,0.6867052023121387,0.6982658959537573,0.6947976878612717,0.6959537572254336,0.6982658959537573,1.0184253137046044,0.996976848589171,1.0094292634124056,1.0291157047682946,0.9840061779415935,1.2142640631133264,1.1913257443576777,1.2159981601828829,1.2573085563992141,1.170978043057503,0.8321396560843931,0.8121083745168983,0.8129368911095716,0.8120541977226188,0.806154886516956,0.7096774193548387,0.7050691244239631,0.6820276497695853,0.6682027649769585,0.7096774193548387,0.7622357733238677,0.7704088061635944,0.7384891773698516,0.7413172568044355,0.7658597181469614
2,0.7144508670520232,0.7075144508670521,0.7167630057803469,0.7063583815028902,0.7132947976878613,0.9304713404506718,0.9328798793871468,0.8978849884566911,0.9285244635485728,0.903992898967288,1.0956791316697356,1.126172608191814,1.0735360121508257,1.1150936090618098,1.0635110752298198,0.7809976776805493,0.7579960374657168,0.7389626765469892,0.7597238612831185,0.7596669869685392,0.7050691244239631,0.7096774193548387,0.6866359447004609,0.728110599078341,0.7142857142857143,0.7160088367725846,0.7212879163328954,0.7029010051955825,0.7116637691374748,0.7144706831549719
3,0.7225433526011561,0.7213872832369943,0.7271676300578035,0.7098265895953758,0.7248554913294798,0.8603775052849306,0.8598279428044591,0.8829475942007993,0.9007602159036409,0.8592740122331392,1.025503198488043,1.0363947065598373,1.040493137245878,1.0792830110689915,1.0147940986747042,0.7182925655207503,0.7078983603267495,0.7473851065023229,0.7471475344185435,0.7254543517707684,0.7511520737327189,0.7096774193548387,0.7327188940092166,0.7188940092165899,0.7188940092165899,0.7747453791754586,0.6925201328119375,0.6882884645242295,0.7074235661238569,0.7385795171359717
4,0.7179190751445087,0.7329479768786128,0.7213872832369943,0.7190751445086706,0.7375722543352602,0.842352453174941,0.8364921113766661,0.8245413762713791,0.8373500436817835,0.8158147455355443,0.9927073306993607,1.0160183173800827,1.0010656194949368,1.0026188323257166,0.9695576150482947,0.7193348292910725,0.6896070291142945,0.6801124674464585,0.7021301323120747,0.690025125074824,0.7695852534562212,0.7788018433179723,0.7142857142857143,0.7188940092165899,0.7695852534562212,0.7089337687338552,0.6551091286443895,0.6484868207834833,0.6570087292227328,0.6460872157927482
5,0.746820809248555,0.7352601156069365,0.7317919075144509,0.7352601156069365,0.7352601156069365,0.7992218978908083,0.7913258690899665,0.8163607656408888,0.8134019511555313,0.816672925555378,0.9435566133315411,0.9444710579487162,0.9806837313765779,0.9793999413831518,0.9491386823697922,0.6869615671831534,0.6722129463055811,0.6885540116270747,0.6842924083044769,0.7136439976342227,0.7695852534562212,0.7741935483870968,0.7603686635944701,0.7649769585253456,0.783410138248848,0.8121676368098105,0.7380504366439609,0.7023406858268422,0.6559679651040635,0.6343310329771261
6,0.7514450867052024,0.7560693641618498,0.7445086705202313,0.7491329479768787,0.7560693641618498,0.7893522819247815,0.7830951664972743,0.7717923997739039,0.7996192962751476,0.7736387898068909,0.9531892625563735,0.9518039516352732,0.9340271463087939,0.9605342160671129,0.9286606918781175,0.6682553745191032,0.658397369701928,0.6518797486200245,0.6806821790310221,0.6590573831435738,0.7788018433179723,0.7926267281105991,0.728110599078341,0.7511520737327189,0.7695852534562212,0.6136281457364834,0.609779898472096,0.6404310854898619,0.740054124511332,0.6164067522172005
7,0.7514450867052024,0.7630057803468209,0.7502890173410405,0.7502890173410405,0.7537572254335261,0.7800484419962682,0.7643212298734472,0.7757353722502333,0.7663967289509029,0.7463985550294229,0.9446005394699377,0.9204380063835634,0.9341843215697402,0.9470633448810752,0.9067054549488452,0.6645119026166584,0.6547073582443622,0.6644840213136936,0.6395457326819044,0.6338426820728758,0.7972350230414746,0.7741935483870968,0.7465437788018433,0.7788018433179723,0.783410138248848,0.5728404214305263,0.6692521451255693,0.6079675025104927,0.5809680899167391,0.5795663589706069
8,0.7549132947976879,0.7861271676300579,0.7734104046242775,0.7641618497109827,0.7595375722543353,0.753780850850114,0.7286669477957104,0.725619854183372,0.7462669859785552,0.7510443247786356,0.9323575305282523,0.9199952833149412,0.9132721145218665,0.9272966680176761,0.9077363271232045,0.6347296929687535,0.6011146856557339,0.6005183149368392,0.6255804923696255,0.646582956160974,0.7419354838709677,0.7926267281105991,0.7373271889400922,0.7926267281105991,0.7788018433179723,0.6306719714046074,0.5668457043335734,0.6044335799283146,0.5729170762998168,0.5832776671730429
9,0.7907514450867053,0.7861271676300579,0.7757225433526012,0.7745664739884394,0.7803468208092486,0.7084810104938822,0.6980481106753743,0.7249017565622242,0.7303064315144076,0.7027176993155698,0.8997515172039697,0.9021458669539986,0.9185579730830061,0.9246944424209245,0.8905948384092488,0.5874731469591823,0.5689250520609934,0.6023845617924262,0.607326262587801,0.5838566627524314,0.7695852534562212,0.7603686635944701,0.7557603686635944,0.7603686635944701,0.783410138248848,0.5640962991846322,0.5605896035647062,0.582552979618723,0.5808103771253665,0.5757343104358092
10,0.7734104046242775,0.7965317919075146,0.7734104046242775,0.7768786127167631,0.7815028901734105,0.7299426269093785,0.695744554384039,0.7242820241035671,0.7133460911588931,0.688787736750524,0.901161020502038,0.8895139727023763,0.9099934658872972,0.9146175078295786,0.8859122750955984,0.6272115890586049,0.5794829053616305,0.6128551626424177,0.5925832448202536,0.5705130165870037,0.8064516129032258,0.7880184331797235,0.7511520737327189,0.7603686635944701,0.7788018433179723,0.5146152149147701,0.5845930092895086,0.6520026202575402,0.5724074296687606,0.6139893317552206
