epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_train_cons_loss,fold1_train_cons_loss,fold2_train_cons_loss,fold3_train_cons_loss,fold4_train_cons_loss,fold0_train_cls_loss,fold1_train_cls_loss,fold2_train_cls_loss,fold3_train_cls_loss,fold4_train_cls_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6138728323699423,0.6127167630057804,0.6092485549132949,0.6023121387283238,0.6034682080924856,5.878551431752126,3.5808894371767654,2.8795114104900885,3.508148055557811,3.6444041663353595,10.635610431706139,6.020243824075122,4.605585891172426,5.843959513060543,6.092656896748674,1.1214924383600917,1.1415350677770213,1.1534369232457713,1.1723366133663633,1.1961514534206565,0.6866359447004609,0.5990783410138248,0.5990783410138248,0.5990783410138248,0.5990783410138248,0.9351587251584101,0.9882216211837558,1.024922595046083,1.0216199461765554,0.9956099690380185
1,0.7213872832369943,0.7040462427745665,0.6867052023121387,0.6959537572254336,0.6763005780346821,4.249733900805132,2.152590353554542,2.0737779826746072,2.118958732950578,2.7078443978904585,7.8991706130701465,3.5720403839688784,3.4233650078467273,3.47927918674749,4.694956829788488,0.7783183526555333,0.8023817429848767,0.7900243986637221,0.8249953033727243,0.8176641901698681,0.7142857142857143,0.7050691244239631,0.7050691244239631,0.7050691244239631,0.7050691244239631,0.7323352444556451,0.8688067598826325,0.8556943269369239,0.830239010296659,0.7921570105486752
2,0.746820809248555,0.7121387283236995,0.6982658959537573,0.7317919075144509,0.7179190751445087,3.6672156141438617,1.813163751309071,1.7791897405725006,1.5968496520584876,2.125836918933676,6.963653210106246,3.0148191287976887,2.972043132016418,2.597824553830908,3.7012077930870406,0.6847245802573108,0.7259517809666625,0.6999414951429455,0.6912057509116076,0.700501450704872,0.7327188940092166,0.7188940092165899,0.7188940092165899,0.7373271889400922,0.728110599078341,0.732811993717598,0.7676681307603687,0.7828702443206366,0.7549570672523042,0.7544898811023906
3,0.7352601156069365,0.723699421965318,0.7225433526011561,0.7248554913294798,0.7375722543352602,3.319978237972347,1.5820122363917324,1.5701965100448065,1.434089509172177,1.8399291938051172,6.424092040149444,2.642423938720598,2.6195743748354254,2.341155884462759,3.203909318381493,0.6489964931383045,0.6695649033292718,0.6672434238118863,0.6535904910586295,0.6662718046695815,0.7511520737327189,0.7373271889400922,0.7649769585253456,0.7649769585253456,0.7603686635944701,0.670637702062932,0.738823956608223,0.7262612619707661,0.6739949169246832,0.6496414676789315
4,0.7595375722543353,0.7514450867052024,0.7491329479768787,0.746820809248555,0.7687861271676301,3.1835882253603103,1.4568323449257317,1.4596605828595817,1.3565537068275137,1.6239525905442893,6.349648019589416,2.4787104179006105,2.4686658366010823,2.2307938856816074,2.9045575039649227,0.5931757918191612,0.6207503397530372,0.634110879460606,0.6412663153552134,0.5761849639612601,0.7880184331797235,0.8018433179723502,0.7695852534562212,0.7603686635944701,0.7972350230414746,0.6313085599978399,0.6089761619743663,0.6764199393136161,0.6207688854586694,0.6185296405844974
5,0.7826589595375723,0.7676300578034683,0.7664739884393064,0.793063583815029,0.7722543352601157,2.880528494032151,1.2955287070175923,1.3405846012841671,1.2627563946837679,1.5602175739653614,5.848401220566636,2.2408174598982575,2.316192409314147,2.133460715823217,2.826784188594293,0.5721830753011441,0.5603041167652935,0.5817785263061523,0.5855419351420271,0.5751102080038928,0.7926267281105991,0.7880184331797235,0.7926267281105991,0.7557603686635944,0.7972350230414746,0.6077953285885297,0.6290418914935556,0.6384699948921732,0.6322687386367728,0.5709566740396386
6,0.7895953757225435,0.7861271676300579,0.7768786127167631,0.7872832369942196,0.7884393063583816,2.733041673625281,1.2638759670454427,1.2723103914785823,1.1624038282337539,1.418538310932457,5.708917892854148,2.2356465097961076,2.242083179294516,2.0008000709594937,2.635223384570638,0.5334808935812854,0.5456107515807546,0.5555217812914367,0.5427196310200822,0.5192493036252643,0.8064516129032258,0.8018433179723502,0.7926267281105991,0.7926267281105991,0.7972350230414746,0.5679231986472134,0.5666302799629176,0.637772450249316,0.5744271695888536,0.5491022206671227
7,0.8127167630057804,0.7942196531791909,0.7988439306358383,0.7803468208092486,0.8034682080924856,2.572588330288546,1.1919487692894193,1.2110895049681358,1.0997802172232112,1.3622692109794792,5.520496510037589,2.1235719689535437,2.199584222988251,1.916987613800469,2.6095769645970894,0.5027805380864975,0.5378303965297314,0.5170400602008225,0.5259963481798084,0.48649998323633037,0.7972350230414746,0.8110599078341014,0.783410138248848,0.7926267281105991,0.8064516129032258,0.5256552278720839,0.5159406530142929,0.559912615657402,0.5401671097575245,0.5205045779179868
8,0.8219653179190752,0.8127167630057804,0.8069364161849711,0.8173410404624278,0.8057803468208093,2.4999369713691397,1.0989881241266881,1.154358617619637,1.0695684024500192,1.3530475415221048,5.520298466769927,2.009308840156695,2.1105036627535427,1.9100565817377984,2.649437905998405,0.48636254039379434,0.4921075969661048,0.5169285459255953,0.5092429064829415,0.48878723984464595,0.8110599078341014,0.7972350230414746,0.7926267281105991,0.7972350230414746,0.8018433179723502,0.5329218921573481,0.5721155685213853,0.5464294011691748,0.5539376043504284,0.6326641662878925
9,0.8485549132947977,0.8023121387283237,0.8034682080924856,0.8439306358381503,0.8161849710982659,2.4087624612751357,1.076145941237791,1.0616741615151046,0.9865472642106747,1.240244348798323,5.479990065644641,2.012675569691789,1.9781666794501314,1.8277618234310675,2.4899222060627895,0.4657409978569101,0.4836476308490158,0.481852391444215,0.45435033150769155,0.4496318703397698,0.7880184331797235,0.8064516129032258,0.783410138248848,0.7880184331797235,0.7926267281105991,0.537093764625936,0.5631800357097855,0.6709686841832877,0.5396201841292843,0.5118882842876944
10,0.8138728323699422,0.8115606936416185,0.83121387283237,0.8138728323699422,0.8369942196531792,2.347219170780357,1.0381799211742682,1.0416145108708548,0.970875051316865,1.1764272676968792,5.4772022689154385,2.0133890706464785,2.0208496790413464,1.8248568335804372,2.451590486349316,0.4692293088370507,0.45305443028791237,0.45407341598370754,0.45848598830196835,0.4113293394036249,0.7788018433179723,0.7373271889400922,0.7926267281105991,0.7741935483870968,0.7511520737327189,0.5636049613425259,0.5933495798418599,0.5559485650831654,0.6250803723313292,0.5699818694646457
11,0.8381502890173411,0.8150289017341041,0.8196531791907515,0.8508670520231214,0.8473988439306359,2.208327570639619,0.961055478918443,1.001643528358652,0.895550551764462,1.1672782264991637,5.347839691223355,1.912722054424636,1.9411935956653106,1.749681211119398,2.5080941713184393,0.4231147066168829,0.4199117104941552,0.46738954859042386,0.4098683847199886,0.4048534314566796,0.7972350230414746,0.7695852534562212,0.7603686635944701,0.8064516129032258,0.8064516129032258,0.6164308890769009,0.5644127630418346,0.520643805578557,0.47117969846945207,0.56683349609375
12,0.8658959537572255,0.8450867052023122,0.8416184971098266,0.8485549132947977,0.8485549132947977,2.016655516597109,0.8922855374189692,0.9757824674111988,0.8596637998152217,1.1202173427157445,5.047163048468598,1.8032599827018352,2.026958055999301,1.7318222664911813,2.47196211098531,0.38484385254186226,0.40176086250795134,0.4097648738721095,0.3900400389225111,0.39235480990978555,0.7880184331797235,0.7557603686635944,0.7788018433179723,0.7327188940092166,0.7972350230414746,0.621169692360311,0.5890553557927707,0.5506328459708921,0.5712080573156681,0.5255367437265985
