epochs,fold0_train_acc,fold1_train_acc,fold2_train_acc,fold3_train_acc,fold4_train_acc,fold0_train_loss,fold1_train_loss,fold2_train_loss,fold3_train_loss,fold4_train_loss,fold0_val_acc,fold1_val_acc,fold2_val_acc,fold3_val_acc,fold4_val_acc,fold0_val_loss,fold1_val_loss,fold2_val_loss,fold3_val_loss,fold4_val_loss
0,0.6365740740740741,0.6342592592592592,0.6342592592592592,0.6365740740740741,0.625,1.0642359698260273,1.021453857421875,1.0582877265082464,0.9972811098451968,1.0633194534866899,0.5990783410138248,0.5990783410138248,0.5990783410138248,0.5990783410138248,0.5990783410138248,1.0441838277649769,1.0851671069448445,1.110434817828341,0.9528246057747696,0.9758570798531107
1,0.6805555555555555,0.6944444444444444,0.6921296296296295,0.6875,0.7013888888888888,0.7353461583455404,0.72313893282855,0.7298512282194914,0.6727314701786747,0.7285552378054019,0.6682027649769585,0.7373271889400922,0.7096774193548387,0.7188940092165899,0.7142857142857143,0.76431640062464,0.6776890205348143,0.673420637983331,0.654252434655818,0.6787458147321429
2,0.7476851851851851,0.7592592592592592,0.7407407407407407,0.7569444444444444,0.75,0.5786442050227413,0.5737004544999864,0.5618340527569806,0.5632461132826628,0.5825926816021955,0.728110599078341,0.7050691244239631,0.7096774193548387,0.728110599078341,0.728110599078341,0.6088346138527866,0.7062217255341842,0.6446575744910175,0.6031344365414386,0.6307904643397177
3,0.787037037037037,0.7615740740740741,0.7592592592592592,0.7708333333333333,0.7569444444444444,0.5042242738935683,0.5456782756028352,0.518781860669454,0.49435283961119475,0.5303481419881185,0.7419354838709677,0.7327188940092166,0.728110599078341,0.7373271889400922,0.7327188940092166,0.5871060279107863,0.5958441457440776,0.5999548072639149,0.5778091008762061,0.6114318601546749
4,0.7662037037037036,0.7962962962962963,0.7430555555555555,0.7847222222222222,0.7662037037037036,0.4991050826178657,0.4946841840390806,0.5233677360746596,0.4638922435266,0.530641860432095,0.7327188940092166,0.7419354838709677,0.7788018433179723,0.7603686635944701,0.728110599078341,0.5711826552993141,0.5649251102851832,0.5807577739662838,0.552141356578071,0.5964247180569556
5,0.7800925925925926,0.7777777777777777,0.7916666666666666,0.8240740740740741,0.7731481481481481,0.49751649300257367,0.48045699022434374,0.4824695454703437,0.42769813537597656,0.49167465501361424,0.7419354838709677,0.7972350230414746,0.815668202764977,0.7465437788018433,0.7235023041474654,0.5593926741780224,0.5604321440244051,0.5430608301118771,0.5450064487720964,0.5831446493825605
6,0.7824074074074073,0.8263888888888888,0.8310185185185185,0.8310185185185185,0.7708333333333333,0.46935620572831893,0.4497571477183589,0.4282031302098875,0.4169806352368108,0.4873782495657603,0.7373271889400922,0.8018433179723502,0.7972350230414746,0.8202764976958525,0.7327188940092166,0.5563222120434458,0.5551993198658464,0.5231239037579655,0.5010830839658114,0.5796402346703314
7,0.8217592592592592,0.8333333333333333,0.8125,0.8425925925925926,0.7430555555555555,0.4312666787041558,0.4056798705348262,0.44309820400344,0.4132965427857858,0.5196364875192996,0.7695852534562212,0.8248847926267281,0.7649769585253456,0.815668202764977,0.7327188940092166,0.5643945773076352,0.510578603788455,0.5318106198640463,0.4701047185379239,0.5799803140525994
8,0.8472222222222222,0.8356481481481481,0.8240740740740741,0.8703703703703703,0.7662037037037036,0.3999058648392006,0.39263485096119066,0.39832771597085176,0.363099232867912,0.4842748134224503,0.7741935483870968,0.7972350230414746,0.7972350230414746,0.8341013824884793,0.7327188940092166,0.5407580186694448,0.5284557606218048,0.5051234109061105,0.4619095182638564,0.575556627616355
9,0.8518518518518519,0.8587962962962963,0.8541666666666666,0.8657407407407407,0.7569444444444444,0.3694293057477033,0.3587750869768637,0.3620302202524962,0.3582321913154037,0.4733514123492771,0.7880184331797235,0.7972350230414746,0.815668202764977,0.7972350230414746,0.7788018433179723,0.4997266162925052,0.5090610794208017,0.4625969021001719,0.49671141013571746,0.5750782522737705
10,0.8703703703703703,0.8425925925925926,0.8888888888888888,0.861111111111111,0.7916666666666666,0.3368271997681371,0.385355516716286,0.3185963100857205,0.34355367333800707,0.4560034970442454,0.8294930875576036,0.8387096774193549,0.8064516129032258,0.8064516129032258,0.8018433179723502,0.45725514811854207,0.45696280518984467,0.4574441074775661,0.46731326986567767,0.5775152461320024
11,0.8773148148148148,0.8796296296296295,0.8657407407407407,0.8657407407407407,0.7893518518518519,0.34691010581122506,0.32317380551938657,0.3267980593222159,0.3134670329314691,0.4477799888010378,0.8064516129032258,0.7880184331797235,0.8202764976958525,0.8294930875576036,0.7465437788018433,0.5099045142600064,0.511808817287744,0.4775290027741463,0.46914190301148023,0.5664950120284261
12,0.9189814814814814,0.8935185185185185,0.9004629629629629,0.9143518518518517,0.8101851851851851,0.27230798259929373,0.28208303341159113,0.2620098607407676,0.24719312262755852,0.41587017642127144,0.7926267281105991,0.8387096774193549,0.8294930875576036,0.8110599078341014,0.8294930875576036,0.503409552684028,0.46675421894970026,0.465176872394052,0.4752245608562698,0.5210245809247417
13,0.9212962962962963,0.8888888888888888,0.9305555555555555,0.9305555555555555,0.8310185185185185,0.22901013824674818,0.26803167936978517,0.20653418920658254,0.19473042532249732,0.39313460555341506,0.8018433179723502,0.8018433179723502,0.8433179723502304,0.815668202764977,0.8110599078341014,0.5111318799207837,0.46899651382375973,0.4544150664509716,0.5167221429710565,0.5169511127032442
14,0.9166666666666666,0.8865740740740741,0.9212962962962963,0.9282407407407407,0.8356481481481481,0.23890184197160932,0.2852859287350266,0.21037686588587584,0.20278791696936996,0.3877493992999748,0.8018433179723502,0.8248847926267281,0.8294930875576036,0.8018433179723502,0.8110599078341014,0.5622880601663194,0.4658156759727935,0.4817577660907798,0.5725416895431308,0.48009952422111263
15,0.9537037037037036,0.9259259259259258,0.9421296296296295,0.9351851851851851,0.8634259259259259,0.16573752269700723,0.212124095470817,0.17233921201140792,0.18998807282359512,0.329865096895783,0.7972350230414746,0.7511520737327189,0.8341013824884793,0.8202764976958525,0.7511520737327189,0.521536383211338,0.5787278012745941,0.5344682157314318,0.497515876172325,0.5873280538391957
16,0.9699074074074073,0.9189814814814814,0.9375,0.9328703703703703,0.8726851851851851,0.1272999495267868,0.2616361285801287,0.1421060104061056,0.1620204316245185,0.2997561522104122,0.8248847926267281,0.7880184331797235,0.8202764976958525,0.8248847926267281,0.7788018433179723,0.5243733511542394,0.5043019017865581,0.5595582838981382,0.5000752479799332,0.5224848804385981
17,0.9421296296296295,0.9375,0.9328703703703703,0.9583333333333333,0.8564814814814814,0.18357789157717316,0.20604438914193046,0.17791313429673514,0.13691332825907954,0.3248425551034786,0.7603686635944701,0.8202764976958525,0.7972350230414746,0.8110599078341014,0.783410138248848,0.5605241604115007,0.5612819733158234,0.5918912404143866,0.5322404149490567,0.4999170435189102
18,0.9583333333333333,0.9537037037037036,0.9652777777777777,0.9675925925925926,0.8842592592592592,0.13720832213207526,0.1408775026599566,0.1284030090879511,0.11218722688931006,0.30006315034848674,0.8387096774193549,0.815668202764977,0.8064516129032258,0.8248847926267281,0.8433179723502304,0.5521224017516808,0.5169515082363709,0.5965652817405314,0.6023176672271869,0.44845942747757733
19,0.9768518518518517,0.9652777777777777,0.9606481481481481,0.9814814814814814,0.9305555555555555,0.10320965283446842,0.10685409384745138,0.12749367041720283,0.07670581892684654,0.22077491658705253,0.8387096774193549,0.8248847926267281,0.8294930875576036,0.8110599078341014,0.8294930875576036,0.5636410998858614,0.5545065391997588,0.6065142671084074,0.5879047323481827,0.493319340015886
20,0.9652777777777777,0.9722222222222222,0.9606481481481481,0.9837962962962963,0.912037037037037,0.1160189073394846,0.10559214817153083,0.1176448177408289,0.07197837476377134,0.23482321368323433,0.8248847926267281,0.8202764976958525,0.8202764976958525,0.8110599078341014,0.7741935483870968,0.5733410422153736,0.562910879811933,0.6030076154366067,0.6675798728169384,0.49338699815460063
21,0.974537037037037,0.9652777777777777,0.9907407407407407,0.9814814814814814,0.9467592592592592,0.081321038029812,0.09892846036840368,0.06459630777438481,0.054596157261618865,0.16238886890587984,0.7972350230414746,0.8341013824884793,0.8110599078341014,0.8202764976958525,0.7972350230414746,0.7992947727853802,0.573085450906358,0.6619405944226524,0.6501228490732782,0.5366500467748686
22,0.9652777777777777,0.9675925925925926,0.9930555555555555,0.9768518518518517,0.9421296296296295,0.10680172785564705,0.08672626399331623,0.047598678480695794,0.06613479747816368,0.15811537758067803,0.815668202764977,0.7972350230414746,0.8110599078341014,0.7695852534562212,0.8248847926267281,0.6759607539198915,0.6677155099156815,0.6482245339775965,0.8394698767068749,0.5566434860229492
23,0.9884259259259258,0.9722222222222222,0.9930555555555555,0.974537037037037,0.9675925925925926,0.03952391528420978,0.0857372565401925,0.04151429208340468,0.09261381846887094,0.10997788552884702,0.8341013824884793,0.8202764976958525,0.815668202764977,0.8202764976958525,0.8387096774193549,0.6365460953954178,0.6116478651899346,0.7377623193274995,0.5698668923795498,0.4974824931764383
24,0.974537037037037,0.9791666666666666,0.9560185185185185,0.9791666666666666,0.9513888888888888,0.07058091130521563,0.06156937915969778,0.10857979097852001,0.06995590638231348,0.14597030370323746,0.8202764976958525,0.8202764976958525,0.7972350230414746,0.7926267281105991,0.8248847926267281,0.6011234252683578,0.7791900085414061,0.6615024316146078,0.6992640627144668,0.5748828786858765
25,0.9930555555555555,0.986111111111111,0.9884259259259258,0.9722222222222222,0.9791666666666666,0.03562036046275386,0.049877821571297117,0.04855280617872874,0.07965458377643868,0.08421247038576338,0.8202764976958525,0.8110599078341014,0.7972350230414746,0.7972350230414746,0.8248847926267281,0.6941472769882272,0.6684420757030013,0.734929313308083,0.7043433782691779,0.6367262255760932
